codigo_ocorrencia,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
49612,0,0,1,0
49615,0,0,1,0
49616,1,0,1,0
49618,1,1,1,1
49619,0,0,1,0
49620,0,0,1,0
49651,1,0,1,0
49671,0,0,1,0
49673,0,0,1,0
49691,0,0,1,0
49692,0,0,1,0
49751,0,0,1,0
49792,1,0,1,0
49795,0,0,1,0
49796,0,0,1,0
49797,0,0,1,0
49798,0,0,1,0
49814,0,0,1,0
49876,0,0,1,0
49878,0,0,1,0
49880,1,0,1,0
49882,0,0,1,0
49892,0,0,1,0
49931,0,0,1,0
49932,0,0,1,0
49933,0,0,1,0
49934,0,0,1,0
50053,0,0,1,0
50091,1,0,1,0
50095,0,0,1,1
50097,1,0,1,0
50131,0,0,1,0
50132,0,0,1,0
50238,1,0,1,1
50240,1,0,1,0
50245,0,0,1,0
50246,1,0,1,0
50251,0,0,1,0
50252,0,0,1,0
50253,0,0,1,0
50291,0,0,1,0
50292,0,0,1,0
50313,0,0,1,0
50314,1,0,1,0
50315,0,0,1,0
50317,1,0,1,0
50318,1,0,1,0
50320,1,0,1,0
50322,1,0,1,0
50324,0,0,1,0
50331,1,0,1,0
50332,0,0,1,0
50333,0,0,0,1
50334,0,0,1,0
50335,1,0,1,0
50337,0,0,1,0
50341,0,0,1,0
50342,1,0,1,0
50343,1,0,1,0
50344,0,0,1,0
50346,0,0,1,0
50347,0,0,1,0
50453,0,0,1,0
50511,0,0,1,0
50513,0,0,1,0
50714,0,0,1,0
50771,0,0,1,0
50791,0,0,1,0
50792,0,0,1,0
50797,1,0,1,0
50799,0,0,1,0
50800,1,0,1,0
50801,1,0,1,0
50802,0,0,1,0
50803,0,0,1,0
50804,1,0,1,0
50806,1,0,1,0
50807,0,0,1,0
50809,0,0,1,0
50810,0,0,1,0
50812,0,0,1,0
50831,0,0,1,0
50916,0,0,1,0
50919,0,0,1,0
50972,1,0,1,0
50975,0,0,1,0
50976,0,0,1,0
50977,1,0,1,0
50978,0,0,1,0
50979,0,0,1,0
50981,0,0,1,0
50983,0,0,1,0
50984,0,0,1,0
50985,0,0,1,0
50992,1,0,1,0
50993,0,0,1,0
50994,0,0,1,0
50995,0,0,1,0
50996,1,0,1,1
50998,0,0,1,0
50999,0,1,1,1
51004,0,0,1,0
51005,0,0,1,0
51006,0,0,1,0
51007,0,0,1,0
51008,0,0,0,1
51010,1,0,1,0
51011,0,0,1,0
51015,0,0,1,0
51019,1,0,1,0
51020,1,1,1,0
51021,0,0,1,0
51022,0,0,1,0
51023,0,0,1,0
51024,0,0,1,0
51025,0,0,1,0
51026,0,0,1,0
51027,1,0,1,0
51031,0,0,1,0
51033,0,0,1,0
51052,0,0,1,0
51054,0,0,1,0
51055,0,0,1,0
51075,0,0,1,0
51083,1,0,1,0
51393,1,0,1,0
51412,1,0,1,0
51413,0,0,1,0
51414,1,0,1,1
51416,1,0,1,0
51439,0,0,1,0
51440,1,0,1,0
51441,0,0,1,0
51442,1,0,1,0
51443,1,0,1,0
51444,1,0,1,0
51445,0,0,1,0
51448,0,0,1,0
51449,0,0,1,0
51517,1,0,1,0
51531,0,0,1,0
51533,0,0,1,0
51534,1,0,1,0
51537,0,0,1,0
51567,0,0,1,0
51568,1,0,1,0
51570,0,0,1,0
51596,0,0,1,0
51597,0,0,1,0
51653,0,0,1,0
51654,0,0,1,0
51655,1,0,1,0
51656,0,0,1,0
51671,0,0,1,0
51674,1,0,1,0
51676,0,0,1,0
51751,1,0,1,0
51752,0,0,1,0
51753,0,0,1,0
51755,0,0,1,0
51775,1,0,1,0
51991,0,1,1,0
52231,0,0,1,0
52240,0,0,1,0
52263,0,0,1,0
52264,1,0,0,0
52265,1,0,1,0
52271,1,0,1,0
52273,0,0,1,0
52274,1,0,1,0
52275,0,0,1,0
52277,1,0,1,0
52279,1,0,1,0
52286,0,0,1,0
52287,0,0,1,0
52289,1,0,1,0
52291,0,0,1,1
52292,0,0,1,0
52293,0,0,1,0
52295,0,0,1,0
52340,1,0,1,0
52471,0,0,1,0
52538,0,0,1,0
52551,0,0,1,0
52552,1,0,1,0
52553,0,0,1,0
52596,1,0,1,0
52633,0,0,1,0
52634,0,0,1,0
52635,1,0,1,0
52636,1,0,1,0
52638,0,0,1,0
52640,0,0,1,0
52651,0,0,1,0
52652,0,0,1,0
52653,0,0,1,0
52654,0,0,1,0
52671,1,0,1,0
52676,0,0,1,0
