codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,codigo_aeronave,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
53234,ACIDENTE,FALHA DO MOTOR EM VOO,RIO DE JANEIRO,RJ,BRASIL,N/A,2015-04-10,12:10:00,N/A,SERIPA-3,INATIVA,0,0.0,,0,1,0.0,31316,PUEVO,3992,ULTRALEVE,INPAER INDUSTRIA PAULISTA E AERONÁUTICA,CONQUEST 180LS,PISTÃO,1.0,600,2.0,2012-01-01,BRASIL,PET,EXPERIMENTAL,N/A,N/A,DESCIDA,PRIVADA,LEVE,0.0,2016-07-30,0.0,0.0,0.0,0.0
29916,ACIDENTE,FALHA DO MOTOR EM VOO,RIO DE JANEIRO,RJ,BRASIL,N/A,2007-06-12,20:35:00,SIM,SERIPA-3,ATIVA,A DEFINIR,0.0,,0,1,0.0,9285,PTAZJ,863,AVIÃO,CESSNA AIRCRAFT,172,PISTÃO,1.0,998,4.0,1958-01-01,BRASIL,PRI,INSTRUÇÃO,N/A,N/A,SUBIDA,INSTRUÇÃO,LEVE,0.0,2016-07-30,0.0,0.0,0.0,0.0
45252,INCIDENTE GRAVE,OUTROS TIPOS,RIO DE JANEIRO,RJ,BRASIL,N/A,2011-12-08,23:37:00,SIM,SERIPA-3,ATIVA,IG-005/CENIPA/2013,0.0,,0,1,0.0,34568,CSTOD,4844,AVIÃO,AIRBUS INDUSTRIE,A340-541,JATO,4.0,237000,0.0,,PORTUGAL,EXT,***,N/A,N/A,DECOLAGEM,***,LEVE,0.0,2016-07-30,0.0,0.0,1.0,0.0
43462,INCIDENTE GRAVE,DESCOMPRESSÃO NÃO INTENCIONAL /  EXPLOSIVA,RIO DE JANEIRO,RJ,BRASIL,SBGL,2010-12-13,11:00:00,SIM,CENIPA,ATIVA,A DEFINIR,0.0,,0,1,0.0,10484,PRWJO,5239,AVIÃO,BOEING COMPANY,737-3Q8,JATO,2.0,61234,156.0,1993-01-01,BRASIL,TPR,REGULAR,N/A,N/A,SUBIDA,REGULAR,NENHUM,0.0,2016-07-30,0.0,0.0,0.0,0.0
34978,INCIDENTE GRAVE,OUTROS TIPOS,RIO DE JANEIRO,RJ,BRASIL,SBGL,2008-11-24,04:21:00,SIM,CENIPA,ATIVA,A DEFINIR,0.0,,0,1,0.0,9748,PTMZZ,4834,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,2.0,77000,184.0,2001-01-01,BRASIL,TPR,REGULAR,N/A,N/A,DESCIDA,REGULAR,NENHUM,0.0,2016-07-30,0.0,0.0,0.0,0.0
53152,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,RIO DE JANEIRO,RJ,BRASIL,SBRJ,2015-03-10,11:30:00,SIM,SERIPA-3,ATIVA,IG-035/CENIPA/2015,0.0,,0,1,0.0,11475,PTYPB,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,621,2.0,1995-01-01,BRASIL,PRI,INSTRUÇÃO,SBJR,SBJR,MANOBRA,INSTRUÇÃO,LEVE,0.0,2016-07-30,0.0,0.0,1.0,1.0
43709,INCIDENTE GRAVE,OUTROS TIPOS,RIO DE JANEIRO,RJ,BRASIL,N/A,2011-01-24,09:55:00,SIM,SERIPA-3,ATIVA,A DEFINIR,0.0,,0,1,0.0,11820,PTHZS,2486,HELICÓPTERO,HELIBRAS,AS 350 B2,TURBOEIXO,1.0,2250,6.0,1997-01-01,BRASIL,SAE,ESPECIALIZADA,N/A,N/A,ESPECIALIZADA,ESPECIALIZADA,LEVE,0.0,2016-07-30,0.0,0.0,0.0,0.0
45415,ACIDENTE,PERDA DE CONTROLE NO SOLO,RIO DE JANEIRO,RJ,BRASIL,N/A,2012-01-30,13:55:00,SIM,SERIPA-3,FINALIZADA,A-077/CENIPA/2013,1.0,2013-10-21,0,1,0.0,9212,PROEA,3896,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,PISTÃO,1.0,621,2.0,2005-01-01,BRASIL,PRI,INSTRUÇÃO,SBJR,N/A,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
46846,ACIDENTE,OUTROS TIPOS,RIO DE JANEIRO,RJ,BRASIL,N/A,2012-08-21,22:35:00,SIM,SERIPA-3,FINALIZADA,A - 562/CENIPA/2015,1.0,2016-04-22,0,1,0.0,13528,PTFEM,3992,AVIÃO,PIPER AIRCRAFT,PA-46R-350T,PISTÃO,1.0,1969,6.0,2011-01-01,BRASIL,TPP,PARTICULAR,SBJR,SBMT,DECOLAGEM,PRIVADA,***,2.0,2016-07-30,1.0,0.0,1.0,0.0
29915,ACIDENTE,PERDA DE CONTROLE NO SOLO,RIO DE JANEIRO,RJ,BRASIL,N/A,2007-07-05,08:45:00,SIM,SERIPA-3,FINALIZADA,A-029/CENIPA/2009,1.0,2009-04-30,3,1,0.0,8237,PTWAW,3821,AVIÃO,EMBRAER,EMB-110,TURBOÉLICE,2.0,5600,17.0,1976-01-01,BRASIL,TPX,TÁXI AÉREO,N/A,N/A,TÁXI,TÁXI AÉREO,LEVE,0.0,2016-07-30,1.0,0.0,1.0,0.0
